No.,Time,Source,Destination,Protocol,Length,Info
7809.0,114.07858684,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7810.0,114.078586869,157.240.196.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
7811.0,114.079515396,10.0.2.15,157.240.196.60,QUIC,76.0,"Protected Payload (KP0), DCID=851d01741bdd246b"
7812.0,114.080635208,10.0.2.15,192.117.112.96,QUIC,1284.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7813.0,114.084229061,157.240.196.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
7814.0,114.084229375,157.240.196.60,10.0.2.15,QUIC,1274.0,Protected Payload (KP0)
7815.0,114.084229404,157.240.196.60,10.0.2.15,QUIC,1242.0,Protected Payload (KP0)
7816.0,114.085223674,10.0.2.15,157.240.196.60,QUIC,76.0,"Protected Payload (KP0), DCID=851d01741bdd246b"
7817.0,114.098300377,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7818.0,114.104817019,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7819.0,114.105687893,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7820.0,114.119241155,10.0.2.15,157.240.196.60,QUIC,77.0,"Protected Payload (KP0), DCID=851d01741bdd246b"
7821.0,114.131578945,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7822.0,114.13766241,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7823.0,114.154907609,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7824.0,114.155105111,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7825.0,114.175894375,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7826.0,114.176708307,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7827.0,114.193791201,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7828.0,114.19804844,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7829.0,114.198450044,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7830.0,114.219238187,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7831.0,114.221914636,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7832.0,114.234739205,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7833.0,114.24368354,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7834.0,114.243878923,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7835.0,114.259677346,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7836.0,114.267388773,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7837.0,114.271160703,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7838.0,114.288246,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7839.0,114.293632548,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7840.0,114.307407702,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7841.0,114.314222388,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7842.0,114.319040461,10.0.2.15,157.240.196.60,TLSv1.2,122.0,Application Data
7844.0,114.328221811,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7845.0,114.329984247,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7846.0,114.348273564,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7847.0,114.349077904,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7848.0,114.362468183,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7849.0,114.37319794,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7850.0,114.373587564,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7851.0,114.377857716,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7852.0,114.409118794,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7853.0,114.409309304,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7854.0,114.409995722,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7855.0,114.410653472,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7856.0,114.438440106,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7857.0,114.438678337,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7858.0,114.439350151,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7859.0,114.439736215,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7860.0,114.458505565,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7861.0,114.468103783,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7862.0,114.473615283,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7863.0,114.474161049,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7864.0,114.494017163,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7865.0,114.494729617,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7866.0,114.507091657,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7867.0,114.515468999,192.117.112.96,10.0.2.15,QUIC,90.0,Protected Payload (KP0)
7868.0,114.515728583,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7869.0,114.53263312,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7870.0,114.533480418,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7871.0,114.545740633,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7872.0,114.578780475,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
7873.0,114.579363469,10.0.2.15,192.117.112.96,QUIC,1292.0,"Protected Payload (KP0), DCID=838100060fb26e0b"
